TRN001;Aberion;Brayden;9:00;12:00;100;80;2024-11-20
TRN002;Brayden;Cameron;15:00;18:00;100;60;2024-11-20
TRN003;Cameron;Delmont;21:00;00:00;100;50;2024-11-21
TRN004;Delmont;Eldon;9:00;12:00;100;70;2024-11-22
TRN005;Eldon;Aberion;15:00;18:00;100;90;2024-11-22
TRN131264;Aberion;Brayden;9:00;12:00;100;100;2024-11-29
TRN105482;Aberion;Brayden;15:00;18:00;100;100;2024-11-29
TRN108079;Aberion;Brayden;21:00;00:00;100;100;2024-11-29
TRN109928;Aberion;Cameron;9:00;12:00;100;100;2024-11-29
TRN113076;Aberion;Cameron;15:00;18:00;100;100;2024-11-29
TRN112150;Aberion;Cameron;21:00;00:00;100;100;2024-11-29
TRN100233;Aberion;Delmont;9:00;12:00;100;100;2024-11-29
TRN131097;Aberion;Delmont;15:00;18:00;100;100;2024-11-29
TRN118180;Aberion;Delmont;21:00;00:00;100;100;2024-11-29
TRN132479;Aberion;Eldon;9:00;12:00;100;100;2024-11-29
TRN125417;Aberion;Eldon;15:00;18:00;100;100;2024-11-29
TRN102507;Aberion;Eldon;21:00;00:00;100;100;2024-11-29
TRN129682;Brayden;Aberion;9:00;12:00;100;100;2024-11-29
TRN120906;Brayden;Aberion;15:00;18:00;100;100;2024-11-29
TRN101130;Brayden;Aberion;21:00;00:00;100;100;2024-11-29
TRN126403;Brayden;Cameron;9:00;12:00;100;100;2024-11-29
TRN129182;Brayden;Cameron;15:00;18:00;100;100;2024-11-29
TRN103209;Brayden;Cameron;21:00;00:00;100;100;2024-11-29
TRN120234;Brayden;Delmont;9:00;12:00;100;100;2024-11-29
TRN118130;Brayden;Delmont;15:00;18:00;100;100;2024-11-29
TRN100137;Brayden;Delmont;21:00;00:00;100;100;2024-11-29
TRN104966;Brayden;Eldon;9:00;12:00;100;100;2024-11-29
TRN128981;Brayden;Eldon;15:00;18:00;100;100;2024-11-29
TRN120804;Brayden;Eldon;21:00;00:00;100;100;2024-11-29
TRN120121;Cameron;Aberion;9:00;12:00;100;100;2024-11-29
TRN108256;Cameron;Aberion;15:00;18:00;100;100;2024-11-29
TRN110181;Cameron;Aberion;21:00;00:00;100;100;2024-11-29
TRN120345;Cameron;Brayden;9:00;12:00;100;100;2024-11-29
TRN117023;Cameron;Brayden;15:00;18:00;100;100;2024-11-29
TRN131798;Cameron;Brayden;21:00;00:00;100;100;2024-11-29
TRN125386;Cameron;Delmont;9:00;12:00;100;100;2024-11-29
TRN119641;Cameron;Delmont;15:00;18:00;100;100;2024-11-29
TRN125784;Cameron;Delmont;21:00;00:00;100;100;2024-11-29
TRN120193;Cameron;Eldon;9:00;12:00;100;100;2024-11-29
TRN110599;Cameron;Eldon;15:00;18:00;100;100;2024-11-29
TRN100132;Cameron;Eldon;21:00;00:00;100;100;2024-11-29
TRN129202;Delmont;Aberion;9:00;12:00;100;100;2024-11-29
TRN130695;Delmont;Aberion;15:00;18:00;100;100;2024-11-29
TRN122877;Delmont;Aberion;21:00;00:00;100;100;2024-11-29
TRN105321;Delmont;Brayden;9:00;12:00;100;100;2024-11-29
TRN122799;Delmont;Brayden;15:00;18:00;100;100;2024-11-29
TRN109933;Delmont;Brayden;21:00;00:00;100;100;2024-11-29
TRN113132;Delmont;Cameron;9:00;12:00;100;100;2024-11-29
TRN107256;Delmont;Cameron;15:00;18:00;100;100;2024-11-29
TRN109870;Delmont;Cameron;21:00;00:00;100;100;2024-11-29
TRN109485;Delmont;Eldon;9:00;12:00;100;100;2024-11-29
TRN119095;Delmont;Eldon;15:00;18:00;100;100;2024-11-29
TRN119864;Delmont;Eldon;21:00;00:00;100;100;2024-11-29
TRN109640;Eldon;Aberion;9:00;12:00;100;100;2024-11-29
TRN101641;Eldon;Aberion;15:00;18:00;100;100;2024-11-29
TRN117607;Eldon;Aberion;21:00;00:00;100;100;2024-11-29
TRN121885;Eldon;Brayden;9:00;12:00;100;100;2024-11-29
TRN114041;Eldon;Brayden;15:00;18:00;100;100;2024-11-29
TRN113182;Eldon;Brayden;21:00;00:00;100;100;2024-11-29
TRN102515;Eldon;Cameron;9:00;12:00;100;100;2024-11-29
TRN122197;Eldon;Cameron;15:00;18:00;100;100;2024-11-29
TRN108800;Eldon;Cameron;21:00;00:00;100;100;2024-11-29
TRN100668;Eldon;Delmont;9:00;12:00;100;100;2024-11-29
TRN118847;Eldon;Delmont;15:00;18:00;100;100;2024-11-29
TRN126914;Eldon;Delmont;21:00;00:00;100;100;2024-11-29
TRN127112;Aberion;Brayden;9:00;12:00;100;100;2024-11-30
TRN121205;Aberion;Brayden;15:00;18:00;100;100;2024-11-30
TRN131426;Aberion;Brayden;21:00;00:00;100;100;2024-11-30
TRN111661;Aberion;Cameron;9:00;12:00;100;100;2024-11-30
TRN123911;Aberion;Cameron;15:00;18:00;100;100;2024-11-30
TRN123892;Aberion;Cameron;21:00;00:00;100;100;2024-11-30
TRN113964;Aberion;Delmont;9:00;12:00;100;100;2024-11-30
TRN118841;Aberion;Delmont;15:00;18:00;100;100;2024-11-30
TRN130535;Aberion;Delmont;21:00;00:00;100;100;2024-11-30
TRN112529;Aberion;Eldon;9:00;12:00;100;100;2024-11-30
TRN105704;Aberion;Eldon;15:00;18:00;100;100;2024-11-30
TRN124565;Aberion;Eldon;21:00;00:00;100;100;2024-11-30
TRN117348;Brayden;Aberion;9:00;12:00;100;100;2024-11-30
TRN103074;Brayden;Aberion;15:00;18:00;100;100;2024-11-30
TRN130142;Brayden;Aberion;21:00;00:00;100;100;2024-11-30
TRN122742;Brayden;Cameron;9:00;12:00;100;100;2024-11-30
TRN122421;Brayden;Cameron;15:00;18:00;100;100;2024-11-30
TRN102163;Brayden;Cameron;21:00;00:00;100;100;2024-11-30
TRN116124;Brayden;Delmont;9:00;12:00;100;100;2024-11-30
TRN103749;Brayden;Delmont;15:00;18:00;100;100;2024-11-30
TRN106606;Brayden;Delmont;21:00;00:00;100;100;2024-11-30
TRN119993;Brayden;Eldon;9:00;12:00;100;100;2024-11-30
TRN109046;Brayden;Eldon;15:00;18:00;100;100;2024-11-30
TRN113044;Brayden;Eldon;21:00;00:00;100;100;2024-11-30
TRN125861;Cameron;Aberion;9:00;12:00;100;100;2024-11-30
